,losses
0,"tensor(0.3782, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.3104, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6450, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5529, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8415, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.9623, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.2201, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6280, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6718, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7710, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4384, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7754, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4363, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7543, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6092, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5937, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4624, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4758, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.2969, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6958, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4559, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4850, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.3492, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5839, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7854, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4022, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4953, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2683, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6172, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0215, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.9434, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5669, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6646, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2908, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1560, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7883, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5934, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7883, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5785, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4911, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.0741, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2061, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0090, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3066, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0061, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0119, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8701, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2927, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5714, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0031, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2887, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3208, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3208, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0045, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
